unit_id,unit_title,lesson_id,lesson_title,lesson_activity,lesson_activity_name,lesson_notes,lesson_video_id,lesson_objectives
2,Purpose of Re-certifications,1,Spreading the Message,,Lesson 1.1 Activity,,-r8-eeZN3OA,
2,Purpose of Re-certifications,2,Difundir el Mensaje,,Lesson 1.2 Activity,,eEShT4ic9AA,
3,GPI Rep Role,1,Peace Efforts,,Lesson 2.1 Activity,,fAT3IBtbfps,
3,GPI Rep Role,2,Esfuerzos por la Paz,,Lesson 2.2 Activity,,Nq6zfY5DZhI,
4,Code of Conduct,1,GPI EA Organisation - 1,,Lesson 3.1 Activity,,Aitv0_E4tFc,
4,Code of Conduct,2,GPI EA Organisation - 2,,Lesson 3.2 Activity,,_C8IauFizD8,
5,Harassment Prevention,1,VMS Briefing to GPI,,Lesson 4.1 Activity,,sAtiu6mYgAM,
5,Harassment Prevention,2,Servicios de Gestion de Voluntarios,,Lesson 4.2 Activity,,-1Ol7oJYP34,
6,Promoting Events,1,GPI Resources,,Lesson 5.1 Activity,,ZL5EOOUBNWA,
6,Promoting Events,2,GPI Resources_ES,,Lesson 5.2 Activity,,HopENoFiBAA,
7,Presentation skills,1,GPI Database Tutorial,,Lesson 6.1 Activity,,OF3h5oooT68,
7,Presentation skills,2,GPI Database Tutorial_ES,,Lesson 6.2 Activity,,tnrhxwPkd4g,
8,Facilitating groups,1,Community Assessment,,Lesson 9.1 Activity,,VJRLAc7O5_c,
8,Facilitating groups,2,Community Assessment_ES,,Lesson 9.2 Activity,,EQhoMPIgJOo,
9,What you learned,1,Invitation System,,Lesson 10.1 Activity,,Akq8aTPBjQ4,
9,What you learned,2,Invitation System_ES,,Lesson 10.2 Activity,,kUXS1H7LOTE,
